Transaction_ID,Sales_Agent_ID,Sales_Agent_Name,Customer_ID,Customer_Name,Product_ID,Product_Name,Date_of_Sale,Units_Sold,Unit_Price,Total_Sale_Amount,Approved_Rebate_Rate,Approved_Incentive_Rate
T202508-00456,S017,Agent 17,C0052,Customer 52,P015,Product B5,2025-08-06,5,181.70,908.50,0.1000,0.0200
T202508-00457,S011,Agent 11,C0219,Customer 219,P014,Product B4,2025-08-22,4,91.13,364.52,0.1000,0.0200
T202508-00458,S007,Agent 7,C0184,Customer 184,P015,Product B5,2025-08-29,3,181.70,545.10,0.1000,0.0200
T202508-00459,S017,Agent 17,C0115,Customer 115,P021,Product C1,2025-08-05,15,93.41,1401.15,0.0000,0.0200
T202508-00460,S017,Agent 17,C0107,Customer 107,P012,Product B2,2025-08-18,2,120.83,241.66,0.1000,0.0200
T202508-00461,S015,Agent 15,C0173,Customer 173,P021,Product C1,2025/08/01,24,72.21,1733.04,0.0000,0.0200
T202508-00462,S013,Agent 13,C0066,Customer 66,P021,Product C1,2025-08-07,24,93.41,2241.84,0.0000,0.0200
T202508-00463,S019,Agent 19,C0019,Customer 19,P002,Product A2,2025-08-23,12,77.50,930.00,0.0500,0.0200
T202508-00464,S003,Agent 3,C0139,Customer 139,P030,Product C10,2025-08-30,3,44.71,134.13,0.0000,0.0200
T202508-00465,S016,Agent 16,C0009,Customer 9,P008,Product A8,2025-08-25,6,114.99,689.94,0.0500,0.0200
T202508-00466,S005,Agent 5,C0197,Customer 197,P017,Product B7,2025-08-21,24,144.35,3464.40,0.1000,0.0200
T202508-00467,S014,Agent 14,C0096,Customer 96,P030,Product C10,2025-08-15,13,44.71,581.23,0.0000,0.0200
T202508-00468,S028,Agent 28,C0097,Customer 97,P010,Product A10,2025-08-31,22,130.94,2880.68,0.0500,0.0200
T202508-00469,S022,Agent 22,C0139,Customer 139,P004,Product A4,2025-08-04,12,139.22,1670.64,0.0500,0.0200
T202508-00470,S006,Agent 6,C0138,Customer 138,P010,Product A10,2025-08-24,5,130.94,654.70,0.0900,0.0200
T202508-00471,S008,Agent 8,C0214,Customer 214,P001,Product A1,2025-08-10,1,113.94,113.94,0.0500,0.0200
T202508-00472,S015,Agent 15,C0173,Customer 173,,Product B8,2025-08-18,14,125.42,1755.88,0.1300,0.0200
T202508-00473,S013,Agent 13,C0211,Customer 211,P006,Product A6,2025-08-12,15,71.86,1077.90,0.0500,0.0200
T202508-00474,S005,Agent 5,C0071,Customer 71,P005,Product A5,08-25-25,24,92.19,2212.56,0.0500,0.0200
T202508-00475,S004,Agent 4,C0009,Customer 9,P021,Product C1,2025-08-20,14,93.41,1307.74,0.0000,0.0200
T202508-00476,S025,Agent 25,C0005,Customer 5,P007,Product A7,2025-08-04,3,52.65,157.95,0.0500,0.0200
T202508-00477,S020,Agent 20,C0009,Customer 9,P012,Product B2,2025-08-23,22,120.83,2658.26,0.1000,0.0200
T202508-00478,S028,Agent 28,C0013,Customer 13,P007,Product A7,13/08/2025,2,52.65,105.30,0.0500,0.0200
T202508-00479,S015,Agent 15,C0060,Customer 60,P014,Product B4,2025-08-28,25,91.13,2278.25,0.1000,0.0200
T202508-00480,S025,Agent 25,C0015,Customer 15,P004,Product A4,2025-08-08,10,139.22,1392.20,0.0500,0.0200
T202508-00481,S027,Agent 27,C0188,Customer 188,P015,Product B5,2025-08-20,19,181.70,3452.30,0.1000,0.0200
T202508-00482,S025,Agent 25,C0173,Customer 173,P021,Product C1,2025-08-10,8,93.41,747.28,0.0000,0.0200
T202508-00483,S029,Agent 29,C0037,Customer 37,P030,Product C10,2025-08-08,17,44.71,760.07,0.0000,0.0200
T202508-00484,S014,Agent 14,C0077,Customer 77,P007,Product A7,2025-08-31,18,52.65,947.70,0.0500,0.0200
T202508-00485,S019,Agent 19,C0189,Customer 189,P026,Product C6,2025-08-22,21,48.12,1010.52,0.0000,0.0200
T202508-00486,S014,Agent 14  ,C0143,Customer 143  ,P013,Product B3,08-31-25,12,194.87,2338.44,0.1000,0.0200
T202508-00487,S021,Agent 21,C0172,Customer 172,P010,Product A10,2025-08-11,17,130.94,2225.98,0.0500,0.0200
T202508-00488,S023,Agent 23,C0107,Customer 107,P011,Product B1,2025-08-13,10,176.70,1767.00,0.1000,0.0200
T202508-00489,S006,Agent 6,C0194,Customer 194,P014,Product B4,2025-08-28,8,91.13,729.04,0.1000,0.0200
T202508-00490,S008,Agent 8,C0077,Customer 77,P023,Product C3,2025-08-26,5,37.18,185.90,0.0000,0.0200
T202508-00491,S015,Agent 15,C0015,Customer 15,P015,Product B5,2025-08-18,14,181.70,2543.80,0.1000,0.0200
T202508-00492,S017,Agent 17,C0035,Customer 35,P010,Product A10,2025-08-07,9,130.94,1178.46,0.0500,0.0200
T202508-00493,S011,Agent 11,C0166,Customer 166,P002,Product A2,2025-08-28,15,77.50,1162.50,0.0800,0.0200
T202508-00494,S012,Agent 12,C0024,Customer 24,P014,Product B4,02/08/2025,7,91.13,637.91,0.1000,0.0200
T202508-00495,S009,Agent 9,C0097,Customer 97,P017,Product B7,2025-08-02,20,144.35,2887.00,0.1000,0.0200
T202508-00496,S028,Agent 28,C0019,Customer 19,P005,Product A5,2025-08-19,25,92.19,2304.75,0.0800,0.0200
T202508-00497,S024,Agent 24,C0172,Customer 172,P014,Product B4,2025-08-07,16,91.13,1458.08,0.1000,0.0200
T202508-00498,S028,Agent 28,C0086,Customer 86,P008,Product A8,2025-08-07,1,114.99,114.99,0.0500,0.0200
T202508-00499,S030,Agent 30,C0049,Customer 49,P029,Product C9,08-24-25,4,45.40,181.60,0.0000,0.0200
T202508-00500,S025,Agent 25,C0123,Customer 123,P026,Product C6,2025-08-20,23,63.32,1456.36,0.0000,0.0200
T202508-00501,S023,Agent 23,C0053,Customer 53,P010,Product A10,2025-08-18,8,130.94,1047.52,0.0500,0.0200
T202508-00502,S011,Agent 11,C0199,Customer 199,P008,Product A8,2025-08-18,15,114.99,1724.85,0.0500,0.0200
T202508-00503,S021,Agent 21,C0092,Customer 92,P008,Product A8,2025-08-17,12,114.99,1379.88,0.0500,0.0200
T202508-00504,S029,Agent 29,C0128,Customer 128,P012,Product B2,16/08/2025,24,120.83,2899.92,0.1200,0.0200
T202508-00505,S025,Agent 25,C0215,Customer 215,P009,Product A9,2025-08-12,7,62.72,439.04,0.0500,0.0200
T202508-00506,S011,Agent 11,C0106,Customer 106,P002,Product A2,2025-08-24,8,77.50,620.00,0.0700,0.0200
T202508-00507,S005,Agent 5,C0005,Customer 5,P007,Product A7,2025-08-19,19,52.65,1000.35,0.0500,0.0200
T202508-00508,S024,Agent 24,C0107,Customer 107,P008,Product A8,2025-08-11,7,114.99,804.93,0.0800,0.0200
T202508-00509,S008,Agent 8,C0098,Customer 98,P015,Product B5,16/08/2025,8,181.70,1453.60,0.1000,0.0200
T202508-00510,S018,Agent 18,C0168,Customer 168,P028,Product C8,2025-08-09,11,88.32,971.52,0.0000,0.0200
T202508-00511,S025,Agent 25,C0211,Customer 211,P013,Product B3,2025-08-21,24,194.87,4676.88,0.1000,0.0200
T202508-00512,S024,Agent 24,C0126,Customer 126,P012,Product B2,2025-08-26,24,120.83,2899.92,0.1000,0.0200
T202508-00513,S012,Agent 12,C0044,Customer 44,P004,Product A4,2025-08-16,18,139.22,2505.96,0.0500,0.0200
T202508-00514,S006,Agent 6,C0139,Customer 139,P030,Product C10,2025-08-17,2,44.71,89.42,0.0000,0.0200
T202508-00515,S002,Agent 2,C0215,Customer 215,P023,Product C3,2025-08-02,22,37.18,817.96,0.0500,0.0200
T202508-00516,S025,Agent 25,C0002,Customer 2,P011,Product B1,2025-08-08,21,176.70,3710.70,0.1000,0.0200
T202508-00517,S003,Agent 3,,Customer 182,P004,Product A4,2025-08-17,7,139.22,974.54,0.0500,0.0200
T202508-00518,S015, Agent 15 ,C0096, Customer 96 ,P002,Product A2,2025-08-22,21,77.50,1627.50,0.0500,0.0200
T202508-00519,S030,Agent 30,C0158,Customer 158,P026,Product C6,2025-08-16,22,63.32,1393.04,0.0000,0.0200
T202508-00520,S001,Agent 1,C0002,Customer 2,P014,Product B4,2025-08-01,14,91.13,1275.82,0.1000,0.0200
T202508-00521,S001,Agent 1,C0136,Customer 136,P019,Product B9,2025/08/10,18,179.53,3231.54,0.1000,0.0200
T202508-00522,S001,Agent 1,C0129,Customer 129,P021,Product C1,2025-08-14,22,93.41,2055.02,0.0000,0.0200
T202508-00523,S026,Agent 26,,Customer 46,P003,Product A3,17/08/2025,4,123.65,494.60,0.0500,0.0200
T202508-00524,S005,Agent 5,C0062,Customer 62,P005,Product A5,2025/08/09,17,92.19,1567.23,0.0500,0.0200
T202508-00525,S027,Agent 27,C0091,Customer 91,P007,Product A7,2025-08-03,13,52.65,684.45,0.0500,0.0200
T202508-00526,S012, Agent 12 ,C0104,Customer 104  ,P012,Product B2,08-23-25,8,120.83,966.64,0.1000,0.0200
T202508-00527,S008,Agent 8,C0077,Customer 77,P018,Product B8,2025-08-21,3,125.42,376.26,0.1000,0.0200
T202508-00528,S028,Agent 28,C0167,Customer 167,P019,Product B9,13/08/2025,3,179.53,538.59,0.1000,0.0200
T202508-00529,S013,Agent 13,C0097,Customer 97,P014,Product B4,2025-08-21,2,91.13,182.26,0.1000,0.0200
T202508-00530,S001,Agent 1,C0180,Customer 180,P005,Product A5,2025-08-28,16,92.19,1475.04,0.0500,0.0200
T202508-00531,S014,Agent 14,C0166,Customer 166,P020,Product B10,2025/08/28,19,183.40,3484.60,0.1000,0.0200
T202508-00532,S004,Agent 4,C0136,Customer 136,P026,Product C6,2025-08-07,8,63.32,506.56,0.0000,0.0200
T202508-00533,S029,Agent 29,C0178,Customer 178,P025,Product C5,2025-08-09,16,87.21,1395.36,0.0000,0.0200
T202508-00534,S002,Agent 2,C0020,Customer 20,P018,Product B8,2025/08/29,9,125.42,1128.78,0.1000,0.0200
T202508-00535,S018,Agent 18,C0145,Customer 145,P017,Product B7,2025-08-30,6,144.35,866.10,0.1000,0.0200
T202508-00536,S028,Agent 28  ,C0081, Customer 81 ,P001,Product A1,2025-08-19,7,113.94,797.58,0.0500,0.0200
T202508-00537,S005,Agent 5,C0193,Customer 193,P022,Product C2,2025-08-30,13,50.51,656.63,0.0000,0.0200
T202508-00538,S003,Agent 3,C0077,Customer 77,P005,Product A5,2025-08-19,8,92.19,737.52,0.0500,0.0200
T202508-00539,S027,Agent 27,C0218,Customer 218,P010,Product A10,2025-08-11,18,130.94,2356.92,0.0500,0.0200
T202508-00540,S013,Agent 13,C0194,Customer 194,P019,Product B9,2025-08-24,23,179.53,4129.19,0.1000,0.0200
T202508-00541,S003,Agent 3,C0129,Customer 129,P019,Product B9,2025-08-02,12,179.53,2154.36,0.1000,0.0200
T202508-00542,S004,Agent 4,C0112,Customer 112,P006,Product A6,2025-08-11,3,55.83,167.49,0.0500,0.0200
T202508-00543,S020,Agent 20,C0197,Customer 197,P016,Product B6,2025-08-13,20,176.86,3537.20,0.1000,0.0200
T202508-00544,S025,Agent 25,C0084,Customer 84,P001,Product A1,2025-08-26,9,113.94,1025.46,0.0500,0.0200
T202508-00545,S015,Agent 15,C0126,Customer 126,P006,Product A6,2025-08-31,18,71.86,1293.48,0.0500,0.0200
T202508-00546,S013,Agent 13,C0111,Customer 111,P005,Product A5,2025-08-22,19,92.19,1751.61,0.0500,0.0200
T202508-00547,S013,Agent 13,C0022,Customer 22,P020,Product B10,2025-08-26,10,183.40,1834.00,0.1000,0.0200
T202508-00548,S008,Agent 8,C0183,Customer 183,P002,Product A2,2025-08-05,9,77.50,697.50,0.0900,0.0200
T202508-00549,S013,Agent 13,C0183,Customer 183,P020,Product B10,2025-08-24,5,183.40,917.00,0.1000,0.0200
T202508-00550,S013,Agent 13,C0082,Customer 82,P010,Product A10,2025-08-01,3,130.94,392.82,0.0500,0.0200
T202508-00551,S010,Agent 10  ,C0114,Customer 114  ,P009,Product A9,2025-08-04,9,72.04,648.36,0.0500,0.0200
T202508-00552,S005,Agent 5,C0023,Customer 23,P005,Product A5,2025-08-18,15,92.19,1382.85,0.0500,0.0200
T202508-00553,S018,Agent 18,C0132,Customer 132,P011,Product B1,2025-08-03,1,176.70,176.70,0.1000,0.0200
T202508-00554,S012,Agent 12,C0142,Customer 142,P003,Product A3,2025-08-26,20,123.65,2473.00,0.0500,0.0200
T202508-00555,S011,Agent 11,C0099,Customer 99,P001,Product A1,2025-08-13,14,113.94,1595.16,0.0500,0.0200
T202508-00556,S025,Agent 25,C0022,Customer 22,P019,Product B9,2025-08-29,18,179.53,3231.54,0.1000,0.0200
T202508-00557,S008,Agent 8,C0147,Customer 147,P014,Product B4,2025-08-13,22,91.13,2004.86,0.1000,0.0200
T202508-00558,S006,Agent 6,C0036,Customer 36,P007,Product A7,2025-08-16,9,52.65,473.85,0.0500,0.0200
T202508-00559,S005,Agent 5,C0017,Customer 17,P005,Product A5,2025-08-14,9,92.19,829.71,0.0500,0.0200
T202508-00560,S010,Agent 10,C0124,Customer 124,P020,Product B10,2025-08-09,12,183.40,2200.80,0.1000,0.0200
T202508-00561,S008,Agent 8,C0185,Customer 185,P016,Product B6,08-20-25,20,176.86,3537.20,0.1000,0.0200
T202508-00562,S007,Agent 7,C0118,Customer 118,P003,Product A3,2025-08-01,10,123.65,1236.50,0.0500,0.0200
T202508-00563,S013,Agent 13  ,C0086, Customer 86 ,P023,Product C3,2025-08-26,13,28.51,370.63,0.0000,0.0200
T202508-00564,S028,Agent 28,,Customer 85,P012,Product B2,08-27-25,14,120.83,1691.62,0.1000,0.0200
T202508-00565,S027, Agent 27 ,C0167,Customer 167  ,P029,Product C9,2025-08-10,5,45.40,227.00,0.0000,0.0200
T202508-00566,S011,Agent 11,C0155,Customer 155,P028,Product C8,2025-08-16,7,88.32,618.24,0.0000,0.0200
T202508-00567,S011,Agent 11,C0046,Customer 46,P029,Product C9,2025-08-10,11,45.40,499.40,0.0000,0.0200
T202508-00568,S024,Agent 24,C0178,Customer 178,P016,Product B6,2025-08-26,19,176.86,3360.34,0.1000,0.0200
T202508-00569,S008,Agent 8,C0084,Customer 84,P010,Product A10,2025-08-12,13,130.94,1702.22,0.0500,0.0200
T202508-00570,S004,Agent 4  ,C0145,Customer 145  ,P005,Product A5,2025-08-06,18,92.19,1659.42,0.0500,0.0200
T202508-00571,S022,Agent 22,C0197,Customer 197,P014,Product B4,2025-08-15,24,64.10,1538.40,0.1000,0.0200
T202508-00572,S023,Agent 23,C0054,Customer 54,P011,Product B1,2025-08-27,10,176.70,1767.00,0.1000,0.0200
T202508-00573,S023,Agent 23,C0018,Customer 18,P021,Product C1,2025-08-22,14,93.41,1307.74,0.0800,0.0200
T202508-00574,S016,Agent 16,C0036,Customer 36,P016,Product B6,2025-08-09,8,176.86,1414.88,0.1000,0.0200
T202508-00575,S022,Agent 22,C0040,Customer 40,P018,Product B8,08-03-25,13,125.42,1630.46,0.1000,0.0200
T202508-00576,S015,Agent 15,C0154,Customer 154,P012,Product B2,2025-08-18,13,120.83,1570.79,0.1000,0.0200
T202508-00577,S017,Agent 17,C0178,Customer 178,P011,Product B1,2025-08-26,2,176.70,353.40,0.1000,0.0200
T202508-00578,S012,Agent 12,C0180,Customer 180,P025,Product C5,2025-08-20,18,87.21,1569.78,0.0000,0.0200
T202508-00579,S021,Agent 21,C0022,Customer 22,P003,Product A3,22-Aug-2025,8,123.65,989.20,0.0500,0.0200
T202508-00580,S022,Agent 22,C0091,Customer 91,P005,Product A5,2025/08/02,20,92.19,1843.80,0.0500,0.0200
T202508-00581,S019,Agent 19,C0166,Customer 166,P017,Product B7,2025/08/31,13,128.82,1674.66,0.1000,0.0200
T202508-00582,S025,Agent 25,C0085,Customer 85,P029,Product C9,2025-08-04,14,45.40,635.60,0.0000,0.0200
T202508-00583,S001,Agent 1,C0026,Customer 26,P007,Product A7,2025-08-24,17,52.65,895.05,0.0500,0.0200
T202508-00584,S017,Agent 17,C0143,Customer 143,,Product B5,2025-08-08,19,181.70,3452.30,0.1500,0.0200
T202508-00585,S015,Agent 15,C0096,Customer 96,P010,Product A10,2025-08-22,25,109.82,2745.50,0.0500,0.0200
T202508-00586,S019,Agent 19,C0177,Customer 177,P013,Product B3,2025-08-01,12,194.87,2338.44,0.1000,0.0200
T202508-00587,S016,Agent 16,C0027,Customer 27,P008,Product A8,08-04-25,3,114.99,344.97,0.0500,0.0200
T202508-00588,S027,Agent 27,C0187,Customer 187,P004,Product A4,2025-08-11,10,102.52,1025.20,0.0500,0.0200
T202508-00589,S015,Agent 15,C0201,Customer 201,P006,Product A6,2025-08-12,16,71.86,1149.76,0.0500,0.0200
T202508-00590,S016,Agent 16,C0025,Customer 25,P011,Product B1,2025-08-15,23,176.70,4064.10,0.1500,0.0200
T202508-00591,S011,Agent 11,C0018,Customer 18,P008,Product A8,2025-08-04,23,114.99,2644.77,0.0500,0.0200
T202508-00592,S001, Agent 1 ,C0218,Customer 218  ,P009,Product A9,2025-08-22,4,72.04,288.16,0.0500,0.0200
T202508-00593,S026,Agent 26,,Customer 43,P027,Product C7,2025-08-08,24,54.03,1296.72,0.0000,0.0200
T202508-00594,S017,Agent 17,C0045,Customer 45,P014,Product B4,2025-08-18,11,91.13,1002.43,0.1000,0.0200
T202508-00595,S014,Agent 14,C0119,Customer 119,P006,Product A6,2025-08-21,13,71.86,934.18,0.0500,0.0200
T202508-00596,S006,Agent 6,C0048,Customer 48,P017,Product B7,08-13-25,14,144.35,2020.90,0.1000,0.0200
T202508-00597,S001,Agent 1,,Customer 189,P016,Product B6,2025/08/15,7,176.86,1238.02,0.1000,0.0200
T202508-00598,S019,Agent 19,C0110,Customer 110,P010,Product A10,2025-08-07,23,130.94,3011.62,0.0500,0.0200
T202508-00599,S007,Agent 7,C0072,Customer 72,P019,Product B9,2025-08-19,3,179.53,538.59,0.1000,0.0200
T202508-00600,S004,Agent 4,C0205,Customer 205,P024,Product C4,2025-08-12,6,39.09,234.54,0.0000,0.0200
T202508-00601,S011,Agent 11,C0051,Customer 51,P012,Product B2,22-Aug-2025,9,88.37,795.33,0.1000,0.0200
T202508-00602,S028,Agent 28,C0126,Customer 126,P014,Product B4,2025-08-11,21,91.13,1913.73,0.1000,0.0200
T202508-00603,S020,Agent 20,C0100,Customer 100,P016,Product B6,2025-08-04,19,176.86,3360.34,0.1000,0.0200
T202508-00604,S012,Agent 12,,Customer 91,P023,Product C3,2025-08-06,20,30.95,619.00,0.0000,0.0200
T202508-00605,S027,Agent 27,C0173,Customer 173,P018,Product B8,2025-08-30,10,125.42,1254.20,0.1000,0.0200
T202508-00606,S020,Agent 20,C0152,Customer 152,P003,Product A3,2025-08-11,5,99.45,497.25,0.0500,0.0200
T202508-00607,S004,Agent 4,C0062,Customer 62,P008,Product A8,2025-08-12,6,114.99,689.94,0.0500,0.0200
T202508-00608,S023,Agent 23,C0037,Customer 37,P013,Product B3,2025-08-20,14,194.87,2728.18,0.1000,0.0200
T202508-00609,S005,Agent 5  ,C0148, Customer 148 ,P010,Product A10,2025-08-16,6,102.75,616.50,0.0500,0.0200
T202508-00610,S021,Agent 21,C0138,Customer 138,P018,Product B8,2025-08-30,21,125.42,2633.82,0.1000,0.0200
T202508-00611,S006,Agent 6,C0143,Customer 143,P005,Product A5,2025-08-05,10,92.19,921.90,0.0800,0.0200
T202508-00612,S006,Agent 6  ,C0081, Customer 81 ,P023,Product C3,02/08/2025,20,37.18,743.60,0.0000,0.0200
T202508-00613,S028,Agent 28,C0092,Customer 92,P028,Product C8,05-Aug-2025,16,88.32,1413.12,0.0000,0.0200
T202508-00614,S007,Agent 7,C0209,Customer 209,P010,Product A10,17-Aug-2025,18,130.94,2356.92,0.0500,0.0200
T202508-00615,S021,Agent 21,C0127,Customer 127,P011,Product B1,2025-08-14,16,176.70,2827.20,0.1000,0.0200
T202508-00616,S023,Agent 23,C0216,Customer 216,P012,Product B2,08-03-25,6,96.74,580.44,0.1000,0.0200
T202508-00617,S019,Agent 19,C0008,Customer 8,P020,Product B10,2025-08-10,8,183.40,1467.20,0.1000,0.0200
T202508-00618,S002,Agent 2,C0071,Customer 71,P006,Product A6,2025-08-06,10,71.86,718.60,0.0500,0.0200
T202508-00619,S025,Agent 25,C0118,Customer 118,P015,Product B5,2025-08-25,25,152.46,3811.50,0.1000,0.0200
T202508-00620,S016,Agent 16,C0141,Customer 141,P013,Product B3,2025/08/04,19,194.87,3702.53,0.1000,0.0200
T202508-00621,S009,Agent 9,C0199,Customer 199,P014,Product B4,2025-08-18,12,91.13,1093.56,0.1000,0.0200
T202508-00622,S027,Agent 27,C0194,Customer 194,P002,Product A2,2025-08-15,24,77.50,1860.00,0.0500,0.0200
T202508-00623,S018,Agent 18,C0056,Customer 56,P030,Product C10,24/08/2025,4,44.71,178.84,0.0000,0.0200
T202508-00624,S027,Agent 27,C0168,Customer 168,P019,Product B9,2025-08-28,10,179.53,1795.30,0.1000,0.0200
T202508-00625,S002,Agent 2,C0116,Customer 116,P007,Product A7,2025-08-15,3,52.65,157.95,0.0500,0.0200
T202508-00626,S028,Agent 28,C0031,Customer 31,P020,Product B10,2025-08-07,8,183.40,1467.20,0.1000,0.0200
T202508-00627,S026,Agent 26,C0189,Customer 189,P015,Product B5,2025-08-28,12,181.70,2180.40,0.1000,0.0200
T202508-00628,S023,Agent 23,C0157,Customer 157,P016,Product B6,2025-08-20,6,176.86,1061.16,0.1000,0.0200
T202508-00629,S005,Agent 5,C0201,Customer 201,P006,Product A6,2025-08-26,7,71.86,503.02,0.0500,0.0200
T202508-00630,S002,Agent 2  ,C0146,Customer 146  ,P009,Product A9,2025-08-20,9,72.04,648.36,0.0500,0.0200
T202508-00631,S018,Agent 18,C0044,Customer 44,P009,Product A9,2025-08-10,23,72.04,1656.92,0.0500,0.0200
T202508-00632,S010,Agent 10,C0147,Customer 147,P007,Product A7,2025-08-29,17,52.65,895.05,0.0700,0.0200
T202508-00633,S022,Agent 22,C0209,Customer 209,P003,Product A3,08-26-25,25,107.99,2699.75,0.0500,0.0200
T202508-00634,S014,Agent 14,C0016,Customer 16,P030,Product C10,2025-08-05,21,44.71,938.91,0.0000,0.0200
T202508-00635,S023,Agent 23,C0034,Customer 34,P007,Product A7,2025-08-11,23,52.65,1210.95,0.0500,0.0200
T202508-00636,S027,Agent 27,C0064,Customer 64,P020,Product B10,2025-08-13,22,183.40,4034.80,0.1000,0.0200
T202508-00637,S016,Agent 16,C0037,Customer 37,P015,Product B5,2025-08-21,9,181.70,1635.30,0.1000,0.0200
T202508-00638,S014,Agent 14,C0097,Customer 97,P012,Product B2,2025-08-26,21,120.83,2537.43,0.1000,0.0200
T202508-00639,S029,Agent 29,C0197,Customer 197,P003,Product A3,2025-08-24,17,123.65,2102.05,0.0500,0.0200
T202508-00640,S009,Agent 9,C0178,Customer 178,P027,Product C7,2025-08-15,12,54.03,648.36,0.0000,0.0200
T202508-00641,S016,Agent 16,C0084,Customer 84,P015,Product B5,28-Aug-2025,25,181.70,4542.50,0.1000,0.0200
T202508-00642,S024,Agent 24,C0024,Customer 24,P019,Product B9,2025-08-21,15,179.53,2692.95,0.1000,0.0200
T202508-00643,S022,Agent 22,C0179,Customer 179,P009,Product A9,2025-08-26,3,72.04,216.12,0.0500,0.0200
T202508-00644,S018,Agent 18  ,C0102,Customer 102  ,P006,Product A6,27/08/2025,14,71.86,1006.04,0.0500,0.0200
T202508-00645,S007,Agent 7,C0127,Customer 127,P007,Product A7,2025-08-11,10,52.65,526.50,0.0500,0.0200
T202508-00646,S018,Agent 18,C0148,Customer 148,P004,Product A4,2025-08-26,16,139.22,2227.52,0.0500,0.0200
T202508-00647,S011,Agent 11,C0175,Customer 175,P020,Product B10,2025-08-04,2,183.40,366.80,0.1000,0.0200
T202508-00648,S021,Agent 21,C0201,Customer 201,P022,Product C2,08-04-25,1,50.51,50.51,0.0000,0.0200
T202508-00649,S030,Agent 30,C0220,Customer 220,P004,Product A4,2025-08-01,15,139.22,2088.30,0.0500,0.0200
T202508-00650,S014,Agent 14,C0052,Customer 52,P030,Product C10,2025-08-29,5,44.71,223.55,0.0000,0.0200
T202508-00651,S021,Agent 21,C0078,Customer 78,P004,Product A4,2025-08-03,9,139.22,1252.98,0.0500,0.0200
T202508-00652,S021,Agent 21,C0093,Customer 93,P007,Product A7,2025-08-22,12,52.65,631.80,0.0500,0.0200
T202508-00653,S029,Agent 29,C0167,Customer 167,P005,Product A5,2025-08-21,13,92.19,1198.47,0.0500,0.0200
T202508-00654,S010,Agent 10,C0186,Customer 186,P018,Product B8,2025-08-14,8,125.42,1003.36,0.1000,0.0200
T202508-00655,S021,Agent 21,C0024,Customer 24,P018,Product B8,08-07-25,1,125.42,125.42,0.1000,0.0200
T202508-00656,S016,Agent 16,C0020,Customer 20,P004,Product A4,17/08/2025,8,139.22,1113.76,0.0500,0.0200
T202508-00657,S022,Agent 22,C0114,Customer 114,P001,Product A1,2025-08-11,23,113.94,2620.62,0.0500,0.0200
T202508-00658,S027,Agent 27,C0031,Customer 31,P030,Product C10,2025-08-23,14,44.71,625.94,0.0000,0.0200
T202508-00659,S005,Agent 5,C0123,Customer 123,P002,Product A2,2025-08-03,13,77.50,1007.50,0.0500,0.0200
T202508-00660,S024,Agent 24,C0207,Customer 207,P003,Product A3,2025-08-12,11,123.65,1360.15,0.0500,0.0200
T202508-00661,S029,Agent 29,C0077,Customer 77,P004,Product A4,2025-08-27,25,139.22,3480.50,0.0500,0.0200
T202508-00662,S025,Agent 25,C0035,Customer 35,P017,Product B7,2025-08-05,22,144.35,3175.70,0.1200,0.0200
T202508-00663,S003,Agent 3,C0136,Customer 136,P015,Product B5,21/08/2025,20,181.70,3634.00,0.1000,0.0200
T202508-00664,S006,Agent 6,C0113,Customer 113,P009,Product A9,2025-08-21,7,72.04,504.28,0.0500,0.0200
T202508-00665,S024,Agent 24,C0039,Customer 39,,Product C6,2025-08-22,20,63.32,1266.40,0.0000,0.0200
T202508-00666,S015,Agent 15,C0056,Customer 56,P003,Product A3,2025-08-05,4,123.65,494.60,0.0500,0.0200
T202508-00667,S025,Agent 25,C0032,Customer 32,P015,Product B5,12-Aug-2025,13,181.70,2362.10,0.1000,0.0200
T202508-00668,S014,Agent 14,C0081,Customer 81,P020,Product B10,2025-08-09,8,149.58,1196.64,0.1000,0.0200
T202508-00669,S021,Agent 21,C0022,Customer 22,P007,Product A7,20/08/2025,20,46.55,931.00,0.0500,0.0200
T202508-00670,S024,Agent 24,C0156,Customer 156,P008,Product A8,2025-08-01,23,114.99,2644.77,0.0500,0.0200
T202508-00671,S028,Agent 28,C0217,Customer 217,P017,Product B7,2025-08-07,10,144.35,1443.50,0.1000,0.0200
T202508-00672,S017,Agent 17,C0156,Customer 156,P013,Product B3,2025-08-13,24,194.87,4676.88,0.1000,0.0200
T202508-00673,S010,Agent 10,C0166,Customer 166,P002,Product A2,2025-08-16,8,77.50,620.00,0.0500,0.0200
T202508-00674,S013,Agent 13,C0029,Customer 29,P007,Product A7,2025-08-20,21,52.65,1105.65,0.0500,0.0200
T202508-00675,S003,Agent 3,C0136,Customer 136,P025,Product C5,2025-08-12,1,87.21,87.21,0.0000,0.0200
T202508-00676,S030,Agent 30,C0082,Customer 82,P004,Product A4,2025-08-14,19,139.22,2645.18,0.0500,0.0200
T202508-00677,S012,Agent 12,C0140,Customer 140,P018,Product B8,2025-08-16,25,125.42,3135.50,0.1000,0.0200
T202508-00678,S025,Agent 25,C0019,Customer 19,P001,Product A1,2025-08-01,3,113.94,341.82,0.0500,0.0200
T202508-00679,S009,Agent 9,C0056,Customer 56,P001,Product A1,2025-08-31,2,113.94,227.88,0.0700,0.0200
